"age","gender","review","education","purchased"
33,"Other","Excellent","High School",1
18,"Other","Poor","Master's",0
48,"Male","Excellent","Diploma",0
60,"Male","Poor","PhD",0
50,"Male","Average","PhD",0
42,"Female","Good","Master's",0
24,"Male","Average","Diploma",0
62,"Female","Good","High School",0
58,"Male","Good","Master's",1
25,"Female","Average","Master's",0
69,"Other","Good","PhD",0
64,"Female","Poor","Bachelor's",0
54,"Male","Poor","Master's",1
58,"Male","Terrible","Diploma",1
48,"Male","Excellent","High School",0
69,"Female","Excellent","Bachelor's",0
70,"Other","Excellent","Master's",1
23,"Female","Poor","High School",1
33,"Other","Terrible","Bachelor's",0
49,"Other","Average","High School",1
61,"Male","Average","PhD",1
34,"Male","Average","Bachelor's",0
47,"Other","Average","PhD",0
25,"Male","Excellent","PhD",0
32,"Male","Terrible","High School",0
56,"Male","Excellent","Bachelor's",0
49,"Other","Excellent","Bachelor's",0
18,"Female","Poor","High School",0
23,"Female","Poor","Master's",1
34,"Female","Excellent","Diploma",1
69,"Male","Excellent","High School",0
52,"Female","Poor","Master's",0
34,"Male","Poor","Master's",1
51,"Female","Good","PhD",0
66,"Other","Excellent","PhD",0
59,"Female","Terrible","Bachelor's",0
39,"Female","Excellent","PhD",0
19,"Other","Terrible","High School",1
37,"Other","Average","Diploma",0
22,"Male","Average","Diploma",1
57,"Other","Terrible","PhD",0
40,"Male","Average","Bachelor's",0
59,"Other","Poor","High School",1
40,"Other","Excellent","Diploma",0
62,"Other","Excellent","High School",1
48,"Other","Excellent","PhD",0
46,"Other","Poor","Diploma",0
21,"Female","Average","High School",1
26,"Female","Good","Bachelor's",1
51,"Other","Poor","Diploma",1
30,"Female","Terrible","Diploma",0
18,"Male","Terrible","Master's",0
46,"Male","Excellent","High School",0
33,"Other","Poor","High School",1
48,"Female","Excellent","Bachelor's",0
70,"Male","Excellent","Bachelor's",0
56,"Other","Excellent","Diploma",0
38,"Female","Average","Bachelor's",0
52,"Other","Terrible","High School",0
22,"Male","Good","High School",1
62,"Other","Terrible","PhD",0
46,"Other","Poor","Diploma",0
18,"Male","Excellent","High School",0
37,"Female","Average","Master's",0
22,"Female","Good","Diploma",0
66,"Other","Excellent","Master's",1
62,"Other","Terrible","PhD",1
70,"Female","Excellent","Bachelor's",1
53,"Other","Excellent","High School",1
26,"Male","Poor","Bachelor's",1
25,"Male","Good","Bachelor's",0
46,"Female","Terrible","Bachelor's",1
52,"Male","Poor","PhD",1
58,"Other","Terrible","Master's",0
67,"Other","Excellent","High School",1
56,"Male","Good","Diploma",1
39,"Female","Poor","Diploma",0
43,"Other","Average","Diploma",0
63,"Female","Average","Bachelor's",0
36,"Female","Good","Master's",0
69,"Male","Good","High School",0
33,"Female","Good","High School",1
66,"Male","Poor","Diploma",1
67,"Female","Excellent","Master's",1
68,"Female","Poor","Diploma",1
39,"Female","Good","Bachelor's",0
51,"Female","Good","PhD",1
50,"Female","Poor","Master's",1
57,"Other","Excellent","High School",0
31,"Other","Excellent","PhD",0
63,"Male","Good","Diploma",0
59,"Male","Excellent","High School",1
33,"Male","Good","PhD",0
20,"Female","Terrible","High School",1
49,"Female","Average","Diploma",0
40,"Male","Average","Master's",1
50,"Female","Good","Master's",1
56,"Male","Good","High School",0
68,"Female","Average","High School",1
40,"Male","Excellent","Bachelor's",0
26,"Other","Good","Bachelor's",0
36,"Other","Average","High School",1
57,"Male","Poor","Bachelor's",0
50,"Male","Poor","Diploma",1
67,"Other","Terrible","Master's",0
52,"Male","Average","Bachelor's",1
68,"Male","Good","Bachelor's",0
42,"Male","Good","Bachelor's",1
41,"Other","Average","Diploma",0
56,"Male","Poor","Diploma",0
55,"Other","Average","PhD",0
44,"Male","Excellent","Bachelor's",1
32,"Other","Terrible","Diploma",0
46,"Female","Average","Master's",1
27,"Other","Excellent","Master's",1
22,"Male","Average","Diploma",0
47,"Other","Good","PhD",1
21,"Male","Terrible","High School",1
51,"Male","Poor","Master's",1
64,"Other","Poor","Master's",1
37,"Male","Excellent","Bachelor's",1
35,"Male","Excellent","Master's",1
57,"Female","Average","Bachelor's",1
32,"Female","Poor","Master's",1
45,"Male","Poor","PhD",0
60,"Female","Terrible","Diploma",0
44,"Male","Excellent","Diploma",0
46,"Male","Excellent","PhD",1
42,"Other","Terrible","Diploma",1
59,"Male","Poor","Master's",0
43,"Female","Excellent","PhD",1
53,"Female","Poor","PhD",1
23,"Other","Average","High School",0
46,"Female","Poor","Bachelor's",1
70,"Male","Excellent","Bachelor's",0
51,"Other","Poor","Bachelor's",1
28,"Other","Poor","PhD",0
36,"Male","Excellent","PhD",1
65,"Male","Excellent","Master's",1
25,"Other","Good","Diploma",1
46,"Female","Poor","Diploma",0
49,"Female","Good","Master's",1
31,"Female","Terrible","High School",0
41,"Other","Good","PhD",0
57,"Male","Poor","PhD",0
53,"Female","Terrible","Bachelor's",1
20,"Other","Average","Master's",1
51,"Other","Terrible","High School",1
67,"Other","Average","High School",0
60,"Male","Average","PhD",0
22,"Male","Terrible","Diploma",1
23,"Male","Excellent","PhD",0
35,"Male","Poor","Bachelor's",0
33,"Female","Terrible","High School",1
39,"Male","Poor","PhD",0
21,"Other","Terrible","High School",0
54,"Other","Poor","PhD",0
37,"Other","Average","Bachelor's",1
68,"Female","Average","Bachelor's",1
56,"Other","Excellent","Bachelor's",1
23,"Female","Average","Diploma",1
58,"Male","Terrible","Bachelor's",0
22,"Other","Average","High School",0
70,"Female","Terrible","PhD",1
51,"Other","Good","Master's",0
20,"Female","Good","Bachelor's",0
23,"Female","Good","Diploma",1
31,"Female","Excellent","PhD",1
51,"Other","Average","Bachelor's",0
39,"Female","Average","Master's",1
70,"Female","Good","High School",0
49,"Other","Good","PhD",0
56,"Female","Good","High School",1
35,"Female","Poor","Master's",0
47,"Male","Good","Master's",0
59,"Male","Average","Master's",0
39,"Male","Average","Bachelor's",1
38,"Other","Excellent","Diploma",1
20,"Female","Good","High School",1
26,"Other","Poor","Diploma",1
60,"Male","Good","Master's",0
60,"Other","Average","Bachelor's",0
59,"Female","Poor","Diploma",1
70,"Female","Terrible","Bachelor's",1
44,"Male","Terrible","Master's",1
49,"Male","Poor","Master's",0
53,"Male","Excellent","Bachelor's",0
32,"Female","Average","Master's",1
59,"Male","Average","High School",0
27,"Other","Terrible","PhD",0
42,"Other","Terrible","Master's",1
58,"Male","Terrible","Master's",1
57,"Other","Terrible","Bachelor's",1
37,"Other","Excellent","High School",0
51,"Female","Terrible","Diploma",1
23,"Other","Excellent","PhD",1
45,"Other","Average","Master's",1
21,"Other","Poor","PhD",0
51,"Other","Excellent","Bachelor's",0
22,"Other","Good","High School",1
40,"Other","Excellent","High School",0
68,"Male","Terrible","PhD",0
20,"Other","Average","Master's",1
47,"Female","Excellent","Diploma",0
27,"Other","Poor","Bachelor's",0
44,"Male","Excellent","PhD",0
51,"Other","Average","PhD",0
23,"Male","Terrible","PhD",0
33,"Male","Terrible","Bachelor's",1
33,"Male","Good","Diploma",0
45,"Female","Good","Bachelor's",1
50,"Male","Excellent","High School",0
35,"Other","Poor","High School",0
40,"Female","Terrible","Bachelor's",1
66,"Other","Poor","Bachelor's",1
63,"Male","Average","Master's",0
45,"Male","Good","Diploma",1
39,"Other","Good","PhD",1
67,"Other","Terrible","PhD",1
68,"Female","Average","Master's",1
68,"Other","Average","PhD",0
21,"Other","Average","Diploma",0
27,"Other","Excellent","High School",1
21,"Male","Average","Master's",1
60,"Female","Excellent","Diploma",1
62,"Male","Average","Bachelor's",0
58,"Female","Good","PhD",1
33,"Male","Excellent","Diploma",1
46,"Male","Excellent","Master's",0
52,"Male","Excellent","PhD",1
31,"Male","Terrible","Master's",0
41,"Other","Average","Bachelor's",1
38,"Female","Good","PhD",0
70,"Female","Terrible","High School",0
22,"Other","Good","Diploma",1
27,"Other","Average","PhD",1
70,"Female","Poor","PhD",0
64,"Male","Average","High School",1
31,"Male","Poor","Master's",0
40,"Male","Average","PhD",0
67,"Female","Excellent","Bachelor's",1
31,"Female","Terrible","PhD",0
22,"Female","Excellent","Diploma",0
53,"Male","Terrible","Diploma",0
55,"Female","Excellent","Diploma",0
26,"Female","Excellent","PhD",1
19,"Other","Average","PhD",0
58,"Male","Terrible","Master's",1
24,"Other","Terrible","High School",1
60,"Male","Terrible","Master's",1
56,"Female","Poor","Diploma",0
39,"Female","Average","Diploma",1
69,"Other","Average","Diploma",0
29,"Female","Average","High School",0
38,"Other","Average","Bachelor's",0
59,"Male","Good","Master's",0
21,"Male","Poor","PhD",0
29,"Female","Average","High School",0
19,"Female","Terrible","Bachelor's",0
61,"Male","Terrible","PhD",1
49,"Other","Good","Diploma",0
46,"Other","Terrible","Bachelor's",1
32,"Female","Good","Master's",0
49,"Female","Terrible","Master's",1
19,"Female","Excellent","High School",1
34,"Other","Average","Diploma",1
55,"Male","Terrible","High School",1
18,"Female","Average","High School",0
58,"Other","Good","Diploma",1
33,"Male","Terrible","Bachelor's",1
22,"Male","Excellent","Master's",1
22,"Female","Terrible","PhD",0
47,"Male","Excellent","Bachelor's",1
38,"Other","Terrible","Master's",0
49,"Other","Excellent","Bachelor's",0
39,"Female","Average","Diploma",1
68,"Male","Excellent","High School",1
25,"Female","Excellent","PhD",1
63,"Male","Average","High School",1
39,"Male","Poor","High School",0
67,"Male","Poor","Bachelor's",0
29,"Female","Average","High School",1
68,"Other","Terrible","High School",0
23,"Male","Poor","Diploma",1
27,"Other","Poor","Master's",0
38,"Female","Excellent","PhD",0
32,"Female","Terrible","Diploma",1
46,"Female","Average","Master's",1
68,"Female","Terrible","High School",0
37,"Female","Poor","High School",1
33,"Other","Average","Master's",0
41,"Other","Terrible","High School",0
65,"Female","Terrible","Diploma",1
61,"Female","Excellent","Bachelor's",0
60,"Female","Good","PhD",1
66,"Other","Poor","PhD",0
20,"Other","Excellent","PhD",0
60,"Other","Terrible","Master's",0
39,"Male","Average","PhD",1
33,"Female","Excellent","High School",1
60,"Female","Excellent","Master's",1
39,"Female","Excellent","Diploma",0
21,"Male","Average","Bachelor's",0
49,"Female","Good","PhD",1
54,"Male","Poor","High School",0
64,"Female","Poor","PhD",0
63,"Other","Average","Bachelor's",1
31,"Female","Poor","PhD",0
59,"Female","Good","High School",1
27,"Other","Excellent","High School",1
33,"Other","Terrible","Master's",0
63,"Other","Excellent","Bachelor's",1
23,"Other","Excellent","High School",0
18,"Male","Good","PhD",0
18,"Female","Average","Master's",1
20,"Male","Excellent","Diploma",1
65,"Male","Average","Bachelor's",0
44,"Female","Terrible","Master's",1
42,"Male","Good","High School",1
60,"Other","Excellent","Bachelor's",0
27,"Female","Poor","Diploma",0
52,"Other","Excellent","PhD",1
47,"Female","Excellent","Master's",1
33,"Other","Terrible","High School",0
23,"Male","Excellent","Master's",1
38,"Female","Poor","High School",1
56,"Female","Good","High School",1
41,"Male","Terrible","Bachelor's",0
48,"Other","Average","High School",0
48,"Female","Average","Bachelor's",1
39,"Female","Good","Bachelor's",0
59,"Female","Poor","High School",1
24,"Female","Terrible","PhD",1
45,"Male","Average","High School",0
66,"Male","Poor","Diploma",1
50,"Other","Poor","PhD",1
50,"Male","Terrible","Diploma",0
51,"Female","Average","Master's",1
46,"Other","Good","Master's",1
38,"Other","Poor","PhD",0
61,"Female","Poor","Diploma",0
56,"Male","Good","High School",1
32,"Female","Excellent","High School",0
35,"Male","Poor","Bachelor's",0
22,"Male","Good","PhD",1
31,"Male","Terrible","Bachelor's",1
66,"Female","Average","PhD",0
32,"Other","Terrible","PhD",0
22,"Male","Good","Master's",0
57,"Other","Poor","PhD",1
27,"Male","Terrible","Master's",0
60,"Female","Excellent","PhD",0
27,"Other","Poor","PhD",1
33,"Male","Average","Master's",1
37,"Male","Average","High School",0
59,"Other","Good","Bachelor's",0
68,"Other","Average","Master's",0
60,"Male","Good","Master's",0
66,"Other","Average","Diploma",0
50,"Male","Poor","PhD",0
26,"Female","Average","Bachelor's",0
63,"Other","Excellent","Bachelor's",1
26,"Male","Good","Diploma",0
46,"Other","Good","Master's",0
41,"Female","Excellent","Diploma",1
33,"Other","Good","Bachelor's",0
34,"Other","Terrible","Diploma",0
38,"Other","Average","Bachelor's",0
27,"Other","Good","Master's",0
30,"Other","Good","Diploma",0
18,"Male","Average","High School",1
58,"Other","Good","Diploma",1
19,"Other","Poor","Master's",1
45,"Other","Good","Bachelor's",1
27,"Other","Excellent","Bachelor's",1
53,"Male","Good","Bachelor's",1
38,"Other","Average","PhD",0
19,"Other","Good","PhD",0
31,"Male","Excellent","Master's",0
49,"Female","Terrible","High School",1
66,"Male","Good","Diploma",0
34,"Other","Good","High School",1
28,"Male","Terrible","Bachelor's",0
63,"Other","Terrible","PhD",1
31,"Female","Good","PhD",0
35,"Male","Excellent","Master's",1
57,"Other","Average","Master's",0
40,"Male","Terrible","Bachelor's",1
62,"Other","Excellent","Master's",1
44,"Other","Average","Bachelor's",0
34,"Other","Terrible","High School",1
60,"Female","Excellent","Master's",0
32,"Female","Poor","Master's",0
39,"Other","Poor","Bachelor's",1
42,"Male","Average","High School",1
29,"Female","Poor","Bachelor's",0
21,"Other","Poor","Master's",0
56,"Male","Excellent","Master's",1
47,"Female","Excellent","Diploma",1
56,"Female","Poor","Diploma",0
32,"Female","Poor","Bachelor's",0
29,"Other","Average","High School",0
42,"Other","Good","Diploma",1
40,"Other","Poor","Diploma",1
65,"Other","Good","PhD",0
44,"Female","Poor","Master's",0
41,"Female","Average","High School",1
35,"Female","Terrible","PhD",1
54,"Other","Excellent","PhD",0
67,"Male","Poor","Bachelor's",1
20,"Female","Terrible","PhD",1
52,"Other","Average","Diploma",1
38,"Other","Poor","Diploma",0
54,"Other","Terrible","PhD",0
33,"Male","Terrible","High School",0
59,"Female","Poor","PhD",0
39,"Other","Terrible","Diploma",0
46,"Male","Terrible","Master's",0
50,"Other","Excellent","Bachelor's",1
48,"Male","Excellent","Master's",0
35,"Other","Poor","PhD",0
37,"Male","Poor","High School",0
54,"Other","Excellent","High School",1
36,"Male","Average","Master's",0
25,"Other","Average","Master's",1
42,"Male","Good","Master's",0
38,"Other","Excellent","Diploma",1
43,"Female","Terrible","High School",0
28,"Other","Excellent","PhD",1
63,"Male","Good","Diploma",0
63,"Other","Excellent","Diploma",1
52,"Male","Average","Master's",1
46,"Male","Terrible","PhD",1
29,"Male","Average","Diploma",0
58,"Male","Excellent","Diploma",1
32,"Male","Average","Master's",1
29,"Other","Good","PhD",1
39,"Female","Terrible","High School",1
59,"Other","Terrible","Bachelor's",0
60,"Male","Poor","Bachelor's",0
38,"Female","Excellent","Master's",1
70,"Male","Average","High School",0
44,"Other","Good","Master's",1
56,"Male","Excellent","High School",0
65,"Female","Poor","High School",1
43,"Female","Good","Master's",0
43,"Other","Poor","Bachelor's",0
44,"Other","Poor","High School",0
58,"Female","Excellent","Master's",1
63,"Female","Excellent","Diploma",1
37,"Male","Poor","Diploma",0
42,"Other","Excellent","PhD",1
42,"Other","Excellent","High School",0
34,"Male","Average","Diploma",1
45,"Female","Terrible","Diploma",1
24,"Female","Excellent","Diploma",0
30,"Other","Poor","Master's",0
52,"Female","Average","High School",1
35,"Male","Poor","PhD",0
69,"Male","Average","Master's",1
56,"Female","Terrible","Diploma",1
60,"Other","Excellent","Master's",1
63,"Other","Poor","High School",1
45,"Female","Terrible","PhD",0
19,"Other","Terrible","Master's",0
35,"Other","Average","Bachelor's",1
33,"Other","Average","Bachelor's",1
41,"Male","Good","Bachelor's",1
24,"Female","Terrible","PhD",0
54,"Male","Good","Bachelor's",1
53,"Male","Excellent","PhD",1
31,"Other","Average","High School",1
47,"Female","Excellent","Master's",0
46,"Other","Excellent","PhD",1
27,"Other","Good","PhD",0
52,"Female","Poor","Bachelor's",0
20,"Female","Excellent","Master's",0
33,"Male","Excellent","Master's",1
43,"Female","Average","High School",1
59,"Female","Terrible","Bachelor's",0
25,"Female","Good","High School",0
48,"Male","Good","PhD",1
67,"Male","Terrible","Diploma",1
65,"Other","Poor","PhD",0
55,"Other","Terrible","Master's",0
50,"Other","Poor","PhD",1
41,"Male","Excellent","Master's",0
31,"Male","Good","PhD",1
25,"Female","Poor","PhD",0
63,"Male","Poor","Diploma",1
53,"Other","Good","PhD",1
29,"Male","Average","Bachelor's",1
36,"Male","Average","Bachelor's",1
28,"Female","Excellent","PhD",0
50,"Other","Poor","PhD",0
26,"Other","Poor","PhD",0
61,"Female","Terrible","Master's",0
66,"Other","Average","PhD",0
54,"Other","Terrible","Master's",1
26,"Male","Terrible","Master's",0
46,"Female","Average","Diploma",1
54,"Male","Good","Master's",0
21,"Female","Poor","Diploma",0
20,"Female","Terrible","High School",0
22,"Male","Poor","Master's",0
51,"Female","Excellent","Diploma",1
41,"Male","Average","PhD",0
38,"Male","Excellent","Bachelor's",1
64,"Other","Good","PhD",1
67,"Female","Terrible","High School",0
37,"Female","Poor","Diploma",1
22,"Other","Average","PhD",0
66,"Male","Terrible","Master's",0
60,"Male","Average","Master's",1
33,"Female","Excellent","Bachelor's",1
31,"Other","Poor","PhD",0
39,"Female","Good","Master's",0
55,"Male","Excellent","Diploma",1
30,"Female","Average","PhD",0
49,"Male","Average","PhD",1
33,"Other","Good","PhD",0
23,"Male","Good","Diploma",0
21,"Other","Terrible","Master's",0
64,"Male","Good","PhD",1
33,"Other","Good","Master's",1
20,"Male","Poor","High School",1
69,"Male","Excellent","Diploma",0
59,"Female","Terrible","PhD",1
66,"Female","Average","Master's",1
33,"Female","Terrible","Diploma",1
24,"Other","Good","Bachelor's",1
36,"Male","Poor","Bachelor's",0
51,"Male","Average","PhD",1
49,"Female","Poor","PhD",1
41,"Female","Poor","Diploma",0
26,"Male","Excellent","Master's",0
28,"Male","Average","Master's",0
69,"Other","Good","Master's",1
33,"Other","Excellent","Bachelor's",1
58,"Female","Excellent","Diploma",1
32,"Male","Average","Diploma",1
65,"Female","Good","High School",0
23,"Female","Terrible","Bachelor's",1
44,"Other","Average","High School",1
56,"Female","Good","Diploma",1
34,"Other","Poor","Master's",0
30,"Other","Average","PhD",0
36,"Other","Excellent","Diploma",0
32,"Other","Poor","High School",1
66,"Male","Poor","Diploma",1
34,"Male","Terrible","Bachelor's",1
35,"Male","Average","Diploma",1
67,"Male","Poor","Bachelor's",0
30,"Female","Average","Diploma",0
48,"Other","Good","Master's",1
61,"Female","Poor","PhD",1
50,"Other","Terrible","High School",1
35,"Other","Excellent","PhD",1
55,"Male","Terrible","Bachelor's",1
46,"Other","Poor","Diploma",0
41,"Female","Terrible","PhD",0
51,"Other","Good","High School",1
44,"Other","Terrible","Diploma",0
63,"Female","Terrible","PhD",1
22,"Male","Terrible","High School",1
54,"Male","Poor","Bachelor's",1
37,"Female","Poor","PhD",1
28,"Female","Terrible","Diploma",0
55,"Female","Good","Master's",0
46,"Male","Good","Diploma",0
25,"Female","Average","Diploma",0
55,"Female","Average","PhD",1
41,"Male","Excellent","PhD",0
35,"Female","Average","PhD",1
34,"Male","Good","Master's",0
40,"Other","Terrible","Diploma",0
36,"Male","Terrible","High School",0
29,"Female","Terrible","Diploma",1
59,"Other","Excellent","Bachelor's",0
61,"Male","Excellent","PhD",1
38,"Male","Good","PhD",1
60,"Female","Terrible","PhD",0
62,"Female","Poor","PhD",0
50,"Female","Excellent","Diploma",1
66,"Male","Average","Bachelor's",1
55,"Male","Excellent","PhD",0
69,"Other","Average","High School",1
24,"Other","Excellent","Diploma",1
31,"Female","Good","Bachelor's",0
67,"Male","Good","Master's",0
70,"Other","Terrible","High School",1
68,"Male","Average","Diploma",1
43,"Male","Poor","High School",1
52,"Other","Average","High School",1
61,"Other","Excellent","Bachelor's",1
49,"Female","Average","Master's",1
45,"Female","Poor","PhD",1
33,"Male","Terrible","Master's",1
18,"Other","Average","Master's",0
41,"Other","Average","Master's",1
60,"Female","Excellent","High School",0
55,"Other","Excellent","Diploma",1
68,"Other","Average","Master's",0
49,"Other","Good","Diploma",0
19,"Female","Poor","Diploma",0
69,"Female","Average","Diploma",1
68,"Male","Average","PhD",0
25,"Female","Good","PhD",0
47,"Female","Excellent","Bachelor's",1
69,"Female","Good","High School",1
41,"Other","Poor","Master's",0
29,"Other","Poor","High School",0
52,"Other","Terrible","High School",1
67,"Other","Poor","High School",0
30,"Female","Poor","PhD",1
43,"Male","Poor","PhD",1
63,"Female","Excellent","High School",1
51,"Male","Good","Bachelor's",1
42,"Other","Excellent","Master's",0
43,"Female","Excellent","High School",0
53,"Male","Terrible","PhD",0
63,"Female","Poor","Master's",0
30,"Male","Excellent","Bachelor's",0
21,"Male","Poor","PhD",1
43,"Male","Terrible","PhD",1
69,"Male","Poor","Master's",0
42,"Other","Terrible","High School",0
25,"Other","Poor","Bachelor's",1
33,"Other","Good","Bachelor's",0
34,"Male","Excellent","High School",1
60,"Male","Excellent","Diploma",1
57,"Other","Poor","Diploma",1
24,"Male","Terrible","High School",1
66,"Female","Excellent","Diploma",0
24,"Female","Good","High School",0
70,"Other","Good","High School",1
24,"Other","Good","Master's",0
54,"Other","Poor","Master's",1
26,"Other","Poor","PhD",0
66,"Male","Good","Bachelor's",1
55,"Female","Average","Bachelor's",0
54,"Male","Terrible","High School",1
19,"Female","Poor","PhD",0
33,"Female","Good","High School",0
28,"Female","Average","High School",0
32,"Male","Good","Bachelor's",0
35,"Female","Excellent","PhD",1
37,"Other","Average","Bachelor's",0
20,"Other","Terrible","PhD",0
41,"Female","Average","Bachelor's",0
64,"Other","Terrible","Bachelor's",1
